,user_id,item_name,playtime_forever
0,76561197970982479,Counter-Strike,6.0
1,76561197970982479,Team Fortress Classic,0.0
2,76561197970982479,Day of Defeat,7.0
3,76561197970982479,Deathmatch Classic,0.0
4,76561197970982479,Half-Life: Opposing Force,0.0
5,76561197970982479,Ricochet,0.0
6,76561197970982479,Half-Life,0.0
7,76561197970982479,Half-Life: Blue Shift,0.0
8,76561197970982479,Day of Defeat: Source,4733.0
9,76561197970982479,Counter-Strike: Source,1853.0
10,76561197970982479,Psychonauts,333.0
11,76561197970982479,Call of Duty 2,75.0
12,76561197970982479,Sid Meier's Civilization IV,338.0
13,76561197970982479,Sid Meier's Civilization IV,0.0
14,76561197970982479,Sid Meier's Pirates!,2.0
15,76561197970982479,Joint Task Force,286.0
16,76561197970982479,Deus Ex: Game of the Year Edition,2685.0
17,76561197970982479,BioShock,633.0
18,76561197970982479,BioShock Remastered,0.0
19,76561197970982479,Half-Life 2,696.0
20,76561197970982479,Half-Life 2: Deathmatch,0.0
21,76561197970982479,Half-Life 2: Lost Coast,37.0
22,76561197970982479,Half-Life Deathmatch: Source,0.0
23,76561197970982479,Half-Life 2: Episode One,168.0
24,76561197970982479,Portal,173.0
25,76561197970982479,Half-Life 2: Episode Two,323.0
26,76561197970982479,Company of Heroes: Opposing Fronts,692.0
27,76561197970982479,Company of Heroes (New Steam Version),0.0
28,76561197970982479,Overlord,0.0
29,76561197970982479,Call of Duty 4: Modern Warfare,1185.0
30,76561197970982479,Medieval II: Total War,477.0
31,76561197970982479,Audiosurf,115.0
32,76561197970982479,Unreal Gold,0.0
33,76561197970982479,Virtual Villagers: A New Home,0.0
34,76561197970982479,Oddworld: Abe's Oddysee,28.0
35,76561197970982479,Oddworld: Abe's Exoddus,0.0
36,76561197970982479,Crysis Warhead,31.0
37,76561197970982479,Crysis Wars,0.0
38,76561197970982479,World of Goo,195.0
39,76561197970982479,Left 4 Dead,513.0
40,76561197970982479,Company of Heroes,1061.0
41,76561197970982479,Mass Effect,1613.0
42,76561197970982479,Empire: Total War,186.0
43,76561197970982479,Burnout Paradise: The Ultimate Box,0.0
44,76561197970982479,Zeno Clash,271.0
45,76561197970982479,Braid,445.0
46,76561197970982479,Killing Floor,10006.0
47,76561197970982479,Killing Floor Mod: Defence Alliance 2,0.0
48,76561197970982479,Plants vs. Zombies: Game of the Year,4413.0
49,76561197970982479,Freedom Force,0.0
50,76561197970982479,Freedom Force vs. the 3rd Reich,0.0
51,76561197970982479,Droplitz,53.0
52,76561197970982479,Trine,199.0
53,76561197970982479,3D Ultra Minigolf Adventures Deluxe,25.0
54,76561197970982479,Batman: Arkham Asylum,570.0
55,76561197970982479,Batman: Arkham Asylum GOTY Edition,0.0
