,user_id,item_id,item_name,playtime_forever
0,76561197970982479,10,Counter-Strike,6.0
1,76561197970982479,20,Team Fortress Classic,0.0
2,76561197970982479,30,Day of Defeat,7.0
3,76561197970982479,40,Deathmatch Classic,0.0
4,76561197970982479,50,Half-Life: Opposing Force,0.0
5,76561197970982479,60,Ricochet,0.0
6,76561197970982479,70,Half-Life,0.0
7,76561197970982479,130,Half-Life: Blue Shift,0.0
8,76561197970982479,300,Day of Defeat: Source,4733.0
9,76561197970982479,240,Counter-Strike: Source,1853.0
10,76561197970982479,3830,Psychonauts,333.0
11,76561197970982479,2630,Call of Duty 2,75.0
12,76561197970982479,3900,Sid Meier's Civilization IV,338.0
14,76561197970982479,3920,Sid Meier's Pirates!,2.0
15,76561197970982479,6400,Joint Task Force,286.0
16,76561197970982479,6910,Deus Ex: Game of the Year Edition,2685.0
17,76561197970982479,7670,BioShock,633.0
18,76561197970982479,409710,BioShock Remastered,0.0
19,76561197970982479,220,Half-Life 2,696.0
20,76561197970982479,320,Half-Life 2: Deathmatch,0.0
21,76561197970982479,340,Half-Life 2: Lost Coast,37.0
22,76561197970982479,360,Half-Life Deathmatch: Source,0.0
23,76561197970982479,380,Half-Life 2: Episode One,168.0
24,76561197970982479,400,Portal,173.0
25,76561197970982479,420,Half-Life 2: Episode Two,323.0
26,76561197970982479,9340,Company of Heroes: Opposing Fronts,692.0
27,76561197970982479,228200,Company of Heroes (New Steam Version),0.0
28,76561197970982479,11450,Overlord,0.0
29,76561197970982479,7940,Call of Duty 4: Modern Warfare,1185.0
30,76561197970982479,4700,Medieval II: Total War,477.0
31,76561197970982479,12900,Audiosurf,115.0
32,76561197970982479,13250,Unreal Gold,0.0
33,76561197970982479,16100,Virtual Villagers: A New Home,0.0
34,76561197970982479,15700,Oddworld: Abe's Oddysee,28.0
35,76561197970982479,15710,Oddworld: Abe's Exoddus,0.0
36,76561197970982479,17330,Crysis Warhead,31.0
37,76561197970982479,17340,Crysis Wars,0.0
38,76561197970982479,22000,World of Goo,195.0
39,76561197970982479,500,Left 4 Dead,513.0
40,76561197970982479,4560,Company of Heroes,1061.0
41,76561197970982479,17460,Mass Effect,1613.0
42,76561197970982479,10500,Empire: Total War,186.0
43,76561197970982479,24740,Burnout Paradise: The Ultimate Box,0.0
44,76561197970982479,22200,Zeno Clash,271.0
45,76561197970982479,26800,Braid,445.0
46,76561197970982479,1250,Killing Floor,10006.0
47,76561197970982479,35420,Killing Floor Mod: Defence Alliance 2,0.0
48,76561197970982479,3590,Plants vs. Zombies: Game of the Year,4413.0
49,76561197970982479,8880,Freedom Force,0.0
50,76561197970982479,8890,Freedom Force vs. the 3rd Reich,0.0
51,76561197970982479,23120,Droplitz,53.0
52,76561197970982479,35700,Trine,199.0
53,76561197970982479,10140,3D Ultra Minigolf Adventures Deluxe,25.0
54,76561197970982479,35010,Batman: Arkham Asylum,570.0
55,76561197970982479,35140,Batman: Arkham Asylum GOTY Edition,0.0
56,76561197970982479,29180,Osmos,940.0
57,76561197970982479,15520,AaAaAA!!! - A Reckless Disregard for Gravity,110.0
58,76561197970982479,32370,STAR WARS™: Knights of the Old Republic™,5.0
59,76561197970982479,37700,Darkest of Days,782.0
60,76561197970982479,6020,STAR WARS™ Jedi Knight: Jedi Academy™,77.0
61,76561197970982479,24860,Battlefield 2,437.0
62,76561197970982479,39530,Painkiller: Black Edition,503.0
63,76561197970982479,550,Left 4 Dead 2,1474.0
64,76561197970982479,223530,Left 4 Dead 2 Beta,0.0
65,76561197970982479,8980,Borderlands,3061.0
66,76561197970982479,41500,Torchlight,536.0
67,76561197970982479,20900,The Witcher: Enhanced Edition,139.0
68,76561197970982479,10180,Call of Duty: Modern Warfare 2,1886.0
69,76561197970982479,10190,Call of Duty: Modern Warfare 2 - Multiplayer,1784.0
70,76561197970982479,17450,Dragon Age: Origins,4431.0
71,76561197970982479,3170,King's Bounty: Armored Princess,1021.0
72,76561197970982479,25900,King's Bounty: The Legend,1389.0
73,76561197970982479,31410,Zombie Driver,95.0
74,76561197970982479,24980,Mass Effect 2,5001.0
75,76561197970982479,8850,BioShock 2,1504.0
76,76561197970982479,409720,BioShock 2 Remastered,0.0
77,76561197970982479,46000,Bob Came in Pieces,11.0
78,76561197970982479,33230,Assassin's Creed II,1636.0
79,76561197970982479,20820,Shatter,46.0
80,76561197970982479,47700,Command and Conquer 4: Tiberian Twilight,85.0
81,76561197970982479,24960,Battlefield: Bad Company 2,5716.0
82,76561197970982479,43110,Metro 2033,834.0
83,76561197970982479,8190,Just Cause 2,3083.0
84,76561197970982479,49600,Beat Hazard,127.0
85,76561197970982479,31220,Sam & Max 301: The Penal Zone,71.0
86,76561197970982479,31230,Sam & Max 302: The Tomb of Sammun-Mak,0.0
87,76561197970982479,31240,Sam & Max 303: They Stole Max's Brain!,0.0
88,76561197970982479,31250,Sam & Max 304: Beyond the Alley of the Dolls,0.0
89,76561197970982479,31260,Sam & Max 305: The City that Dares not Sleep,0.0
